Name,Rarity,Level,Overtaking,Defending,Consistency,Fuel Use,Tyre Mgmt,Wet Ability,Total Value,Dry Quali,Series,Cards For Upgrade,Total Cards Needed,Coins For Upgrade,Total Coins Needed
Stroll,Common,11,36,32,30,28,27,34,187,123,2,4000,7785,40000,220000
Ricciardo,Common,9,28,27,30,34,36,32,187,125,3,1000,1785,112000,504000
Sainz,Common,7,27,34,32,30,28,36,187,119,4,200,385,240000,840000
Verstappen,Common,6,36,32,30,28,34,27,187,130,5,100,185,550000,1650000
Tsunoda,Common,11,34,30,35,32,28,26,185,124,2,4000,7785,40000,220000
Vettel,Common,9,34,30,32,28,26,35,185,118,3,1000,1785,112000,504000
Gasly,Common,7,32,35,28,30,34,26,185,131,4,200,385,240000,840000
Norris,Common,6,30,28,26,35,32,34,185,125,5,100,185,550000,1650000
Vettel,Rare,2,34,30,32,28,26,35,185,118,7,4,5,1180000,1180000
Gasly,Rare,1,32,35,28,30,34,26,185,131,8,1,1,0,0
Zhou,Epic,3,35,30,34,32,28,26,185,125,4,10,15,240000,360000
Magnussen,Epic,2,32,35,26,34,30,28,185,131,5,4,5,330000,330000
Schumacher,Epic,6,28,26,34,35,32,30,185,121,1,100,185,15000,45000
Albon,Epic,1,30,34,26,28,35,32,185,127,6,1,1,0,0
Albon,Common,11,30,33,26,28,35,31,183,126,2,4000,7785,40000,220000
Ocon,Common,9,26,33,28,35,31,30,183,125,3,1000,1785,112000,504000
Alonso,Common,7,35,31,30,33,26,28,183,125,4,200,385,240000,840000
Russell,Common,6,33,35,28,26,30,31,183,124,5,100,185,550000,1650000
Tsunoda,Rare,3,33,30,35,31,28,26,183,122,6,10,15,1040000,1560000
Ocon,Rare,2,26,33,28,35,31,30,183,125,7,4,5,1180000,1180000
Alonso,Rare,1,35,31,30,33,26,28,183,125,8,1,1,0,0
Schumacher,Common,11,27,25,33,35,31,29,180,118,2,4000,7785,40000,220000
Bottas,Common,9,31,35,25,29,33,27,180,128,3,1000,1785,112000,504000
Perez,Common,7,29,27,35,25,31,33,180,112,4,200,385,240000,840000
Leclerc,Common,6,27,25,33,31,35,29,180,118,5,100,185,550000,1650000
Hamilton,Common,5,31,33,35,25,29,27,180,118,6,50,85,440000,1100000
Schumacher,Rare,3,27,25,33,35,31,29,180,118,6,10,15,1040000,1560000
Bottas,Rare,2,31,35,25,29,33,27,180,128,7,4,5,1180000,1180000
Perez,Rare,1,29,27,35,25,31,33,180,112,8,1,1,0,0
Zhou,Rare,7,34,29,32,31,27,25,178,121,2,200,385,48000,168000
Magnussen,Rare,6,31,34,25,32,29,27,178,126,3,100,185,140000,420000
Latifi,Rare,3,25,27,31,29,32,34,178,113,6,10,15,1040000,1560000
Albon,Rare,8,29,32,25,27,34,31,178,122,1,400,785,14000,56000
Stroll,Rare,2,34,31,29,27,25,32,178,117,7,4,5,1180000,1180000
Ricciardo,Rare,1,27,25,29,32,34,31,178,118,8,1,1,0,0
Stroll,Common,10,34,30,28,27,25,32,176,116,2,2000,3785,36000,180000
Ricciardo,Common,8,27,25,28,32,34,30,176,118,3,400,785,98000,392000
Sainz,Common,6,25,32,30,28,27,34,176,112,4,100,185,200000,600000
Verstappen,Common,5,34,30,28,27,32,25,176,123,5,50,85,440000,1100000
Tsunoda,Common,10,32,28,34,30,26,24,174,116,2,2000,3785,36000,180000
Vettel,Common,8,32,28,30,26,24,34,174,110,3,400,785,98000,392000
Gasly,Common,6,30,34,26,28,32,24,174,124,4,100,185,200000,600000
Norris,Common,5,28,26,24,34,30,32,174,118,5,50,85,440000,1100000
Albon,Common,10,28,31,24,26,33,30,172,118,2,2000,3785,36000,180000
Ocon,Common,8,24,31,26,33,30,28,172,118,3,400,785,98000,392000
Alonso,Common,6,33,30,28,31,24,26,172,118,4,100,185,200000,600000
Russell,Common,5,31,33,26,24,28,30,172,116,5,50,85,440000,1100000
Schumacher,Common,10,25,24,31,33,29,27,169,111,2,2000,3785,36000,180000
Bottas,Common,8,29,33,24,27,31,25,169,120,3,400,785,98000,392000
Perez,Common,6,27,25,33,24,29,31,169,105,4,100,185,200000,600000
Leclerc,Common,5,25,24,31,29,33,27,169,111,5,50,85,440000,1100000
Hamilton,Common,4,29,31,33,24,27,25,169,111,6,20,35,330000,660000
Vettel,Rare,1,31,27,29,25,24,33,169,107,7,1,1,0,0
Tsunoda,Rare,2,31,27,32,29,25,23,167,112,6,4,5,520000,520000
Ocon,Rare,1,23,31,25,32,29,27,167,115,7,1,1,0,0
Stroll,Common,9,32,28,27,25,23,30,165,108,2,1000,1785,32000,144000
Ricciardo,Common,7,25,23,27,30,32,28,165,110,3,200,385,84000,294000
Sainz,Common,5,23,30,28,27,25,32,165,105,4,50,85,160000,400000
Verstappen,Common,4,32,28,27,25,30,23,165,115,5,20,35,330000,660000
Schumacher,Rare,2,25,23,30,32,28,27,165,108,6,4,5,520000,520000
Bottas,Rare,1,28,32,23,27,30,25,165,117,7,1,1,0,0
Zhou,Epic,2,32,27,30,28,25,23,165,112,4,4,5,120000,120000
Magnussen,Epic,1,28,32,23,30,27,25,165,117,5,1,1,0,0
Schumacher,Epic,5,25,23,30,32,28,27,165,108,1,50,85,12000,30000
Latifi,Common,11,22,24,28,26,30,32,162,102,1,4000,7785,10000,55000
Tsunoda,Common,9,30,26,32,28,24,22,162,108,2,1000,1785,32000,144000
Vettel,Common,7,30,26,28,24,22,32,162,102,3,200,385,84000,294000
Gasly,Common,5,28,32,24,26,30,22,162,116,4,50,85,160000,400000
Norris,Common,4,26,24,22,32,28,30,162,110,5,20,35,330000,660000
Zhou,Rare,6,32,26,30,28,24,22,162,110,2,100,185,40000,120000
Magnussen,Rare,5,28,32,22,30,26,24,162,116,3,50,85,112000,280000
Latifi,Rare,2,22,24,28,26,30,32,162,102,6,4,5,520000,520000
Albon,Rare,7,26,30,22,24,32,28,162,112,1,200,385,12000,42000
Stroll,Rare,1,32,28,26,24,22,30,162,106,7,1,1,0,0
Magnussen,Common,11,28,31,22,30,26,24,161,115,1,4000,7785,10000,55000
Albon,Common,9,26,30,22,24,31,28,161,111,2,1000,1785,32000,144000
Ocon,Common,7,22,30,24,31,28,26,161,111,3,200,385,84000,294000
Alonso,Common,5,31,28,26,30,22,24,161,111,4,50,85,160000,400000
Russell,Common,4,30,31,24,22,26,28,161,109,5,20,35,330000,660000
Zhou,Common,11,31,25,29,27,24,22,158,107,1,4000,7785,10000,55000
Schumacher,Common,9,24,22,29,31,27,25,158,104,2,1000,1785,32000,144000
Bottas,Common,7,27,31,22,25,29,24,158,112,3,200,385,84000,294000
Perez,Common,5,25,24,31,22,27,29,158,98,4,50,85,160000,400000
Leclerc,Common,4,24,22,29,27,31,25,158,104,5,20,35,330000,660000
Hamilton,Common,3,27,29,31,22,25,24,158,103,6,10,15,220000,330000
Stroll,Common,8,30,27,25,23,21,28,154,101,2,400,785,28000,112000
Ricciardo,Common,6,23,21,25,28,30,27,154,102,3,100,185,70000,210000
Sainz,Common,4,21,28,27,25,23,30,154,97,4,20,35,120000,240000
Verstappen,Common,3,30,27,25,23,28,21,154,108,5,10,15,220000,330000
Latifi,Common,10,21,22,26,24,28,30,151,95,1,2000,3785,9000,45000
Tsunoda,Common,8,28,24,30,26,22,21,151,100,2,400,785,28000,112000
Vettel,Common,6,28,24,26,22,21,30,151,95,3,100,185,70000,210000
Gasly,Common,4,26,30,22,24,28,21,151,108,4,20,35,120000,240000
Norris,Common,3,24,22,21,30,26,28,151,102,5,10,15,220000,330000
Tsunoda,Rare,1,28,24,30,26,22,21,151,100,6,1,1,0,0
Magnussen,Common,10,26,30,20,28,24,22,150,108,1,2000,3785,9000,45000
Albon,Common,8,24,28,20,22,30,26,150,104,2,400,785,28000,112000
Ocon,Common,6,20,28,22,30,26,24,150,104,3,100,185,70000,210000
Alonso,Common,4,30,26,24,28,20,22,150,104,4,20,35,120000,240000
Russell,Common,3,28,30,22,20,24,26,150,102,5,10,15,220000,330000
Schumacher,Rare,1,22,20,28,30,26,24,150,98,6,1,1,0,0
Zhou,Common,10,29,24,27,25,22,20,147,100,1,2000,3785,9000,45000
Schumacher,Common,8,22,20,27,29,25,24,147,96,2,400,785,28000,112000
Bottas,Common,6,25,29,20,24,27,22,147,105,3,100,185,70000,210000
Perez,Common,4,24,22,29,20,25,27,147,91,4,20,35,120000,240000
Leclerc,Common,3,22,20,27,25,29,24,147,96,5,10,15,220000,330000
Hamilton,Common,2,25,27,29,20,24,22,147,96,6,4,5,110000,110000
Zhou,Rare,5,29,24,27,25,22,20,147,100,2,50,85,32000,80000
Magnussen,Rare,4,25,29,20,27,24,22,147,105,3,20,35,84000,168000
Latifi,Rare,1,20,22,25,24,27,29,147,93,6,1,1,0,0
Albon,Rare,6,24,27,20,22,29,25,147,102,1,100,185,10000,30000
Zhou,Epic,1,29,23,27,25,21,20,145,98,4,1,1,0,0
Schumacher,Epic,4,21,20,27,29,25,23,145,95,1,20,35,9000,18000
Stroll,Common,7,28,25,23,21,19,27,143,93,2,200,385,24000,84000
Ricciardo,Common,5,21,19,23,27,28,25,143,95,3,50,85,56000,140000
Sainz,Common,3,19,27,25,23,21,28,143,90,4,10,15,80000,120000
Verstappen,Common,2,28,25,23,21,27,19,143,101,5,4,5,110000,110000
Latifi,Common,9,19,21,24,22,26,28,140,88,1,1000,1785,8000,36000
Tsunoda,Common,7,26,22,28,24,21,19,140,93,2,200,385,24000,84000
Vettel,Common,5,26,22,24,21,19,28,140,88,3,50,85,56000,140000
Gasly,Common,3,24,28,21,22,26,19,140,100,4,10,15,80000,120000
Norris,Common,2,22,21,19,28,24,26,140,95,5,4,5,110000,110000
Magnussen,Common,9,24,28,18,26,22,20,138,100,1,1000,1785,8000,36000
Albon,Common,7,22,26,18,20,28,24,138,96,2,200,385,24000,84000
Ocon,Common,5,18,26,20,28,24,22,138,96,3,50,85,56000,140000
Alonso,Common,3,28,24,22,26,18,20,138,96,4,10,15,80000,120000
Russell,Common,2,26,28,20,18,22,24,138,94,5,4,5,110000,110000
Zhou,Common,9,27,22,25,24,20,18,136,93,1,1000,1785,8000,36000
Schumacher,Common,7,20,18,25,27,24,22,136,89,2,200,385,24000,84000
Bottas,Common,5,24,27,18,22,25,20,136,98,3,50,85,56000,140000
Perez,Common,3,22,20,27,18,24,25,136,84,4,10,15,80000,120000
Leclerc,Common,2,20,18,25,24,27,22,136,89,5,4,5,110000,110000
Hamilton,Common,1,24,25,27,18,22,20,136,89,6,1,1,0,0
Stroll,Common,6,27,23,21,19,17,25,132,86,2,100,185,20000,60000
Ricciardo,Common,4,19,17,21,25,27,23,132,88,3,20,35,42000,84000
Sainz,Common,2,17,25,23,21,19,27,132,82,4,4,5,40000,40000
Verstappen,Common,1,27,23,21,19,25,17,132,94,5,1,1,0,0
Zhou,Rare,4,27,21,25,23,19,17,132,90,2,20,35,24000,48000
Magnussen,Rare,3,23,27,17,25,21,19,132,96,3,10,15,56000,84000
Albon,Rare,5,21,25,17,19,27,23,132,92,1,50,85,8000,20000
Latifi,Common,8,17,19,22,21,24,26,129,81,1,400,785,7000,28000
Tsunoda,Common,6,24,21,26,22,19,17,129,86,2,100,185,20000,60000
Vettel,Common,4,24,21,22,19,17,26,129,81,3,20,35,42000,84000
Gasly,Common,2,22,26,19,21,24,17,129,93,4,4,5,40000,40000
Norris,Common,1,21,19,17,26,22,24,129,88,5,1,1,0,0
Magnussen,Common,8,22,26,17,24,20,18,127,92,1,400,785,7000,28000
Albon,Common,6,20,24,17,18,26,22,127,88,2,100,185,20000,60000
Ocon,Common,4,17,24,18,26,22,20,127,89,3,20,35,42000,84000
Alonso,Common,2,26,22,20,24,17,18,127,89,4,4,5,40000,40000
Russell,Common,1,24,26,18,17,20,22,127,87,5,1,1,0,0
Zhou,Common,8,25,20,24,22,18,16,125,85,1,400,785,7000,28000
Schumacher,Common,6,18,16,24,25,22,20,125,81,2,100,185,20000,60000
Bottas,Common,4,22,25,16,20,24,18,125,91,3,20,35,42000,84000
Perez,Common,2,20,18,25,16,22,24,125,76,4,4,5,40000,40000
Leclerc,Common,1,18,16,24,22,25,20,125,81,5,1,1,0,0
Schumacher,Epic,3,18,16,24,25,22,20,125,81,1,10,15,6000,9000
Stroll,Common,5,25,21,19,17,15,23,120,78,2,50,85,16000,40000
Ricciardo,Common,3,17,15,19,23,25,21,120,80,3,10,15,28000,42000
Sainz,Common,1,15,23,21,19,17,25,120,74,4,1,1,0,0
Latifi,Common,7,15,17,21,19,22,24,118,73,1,200,385,6000,21000
Tsunoda,Common,5,22,19,24,21,17,15,118,79,2,50,85,16000,40000
Vettel,Common,3,22,19,21,17,15,24,118,73,3,10,15,28000,42000
Gasly,Common,1,21,24,17,19,22,15,118,86,4,1,1,0,0
Magnussen,Common,7,20,24,15,22,18,17,116,84,1,200,385,6000,21000
Albon,Common,5,18,22,15,17,24,20,116,81,2,50,85,16000,40000
Ocon,Common,3,15,22,17,24,20,18,116,81,3,10,15,28000,42000
Alonso,Common,1,24,20,18,22,15,17,116,81,4,1,1,0,0
Zhou,Rare,3,24,18,22,20,17,15,116,79,2,10,15,16000,24000
Magnussen,Rare,2,20,24,15,22,18,17,116,84,3,4,5,28000,28000
Albon,Rare,4,18,22,15,17,24,20,116,81,1,20,35,6000,12000
Zhou,Common,7,24,18,22,20,16,14,114,78,1,200,385,6000,21000
Schumacher,Common,5,16,14,22,24,20,18,114,74,2,50,85,16000,40000
Bottas,Common,3,20,24,14,18,22,16,114,84,3,10,15,28000,42000
Perez,Common,1,18,16,24,14,20,22,114,68,4,1,1,0,0
Stroll,Common,4,23,19,17,15,14,21,109,71,2,20,35,12000,24000
Ricciardo,Common,2,15,14,17,21,23,19,109,73,3,4,5,14000,14000
Latifi,Common,6,13,15,19,17,21,22,107,66,1,100,185,5000,15000
Tsunoda,Common,4,21,17,22,19,15,13,107,72,2,20,35,12000,24000
Vettel,Common,2,21,17,19,15,13,22,107,66,3,4,5,14000,14000
Magnussen,Common,6,18,22,13,20,17,15,105,77,1,100,185,5000,15000
Albon,Common,4,17,20,13,15,22,18,105,74,2,20,35,12000,24000
Ocon,Common,2,13,20,15,22,18,17,105,73,3,4,5,14000,14000
Schumacher,Epic,2,15,13,20,22,18,17,105,68,1,4,5,3000,3000
Zhou,Common,6,22,16,20,18,14,12,102,70,1,100,185,5000,15000
Schumacher,Common,4,14,12,20,22,18,16,102,66,2,20,35,12000,24000
Bottas,Common,2,18,22,12,16,20,14,102,76,3,4,5,14000,14000
Zhou,Rare,2,21,16,20,18,14,12,101,69,2,4,5,8000,8000
Magnussen,Rare,1,18,21,12,20,16,14,101,75,3,1,1,0,0
Albon,Rare,3,16,20,12,14,21,18,101,71,1,10,15,4000,6000
Stroll,Common,3,21,17,15,14,12,19,98,64,2,10,15,8000,12000
Ricciardo,Common,1,14,12,15,19,21,17,98,66,3,1,1,0,0
Latifi,Common,5,11,13,17,15,19,21,96,58,1,50,85,4000,10000
Tsunoda,Common,3,19,15,21,17,13,11,96,64,2,10,15,8000,12000
Vettel,Common,1,19,15,17,13,11,21,96,58,3,1,1,0,0
Magnussen,Common,5,17,20,11,18,15,13,94,70,1,50,85,4000,10000
Albon,Common,3,15,18,11,13,20,17,94,66,2,10,15,8000,12000
Ocon,Common,1,11,18,13,20,17,15,94,66,3,1,1,0,0
Zhou,Common,5,20,14,18,16,12,11,91,62,1,50,85,4000,10000
Schumacher,Common,3,12,11,18,20,16,14,91,59,2,10,15,8000,12000
Bottas,Common,1,16,20,11,14,18,12,91,68,3,1,1,0,0
Stroll,Common,2,19,15,14,12,10,17,87,56,2,4,5,4000,4000
Latifi,Common,4,10,11,15,13,17,19,85,51,1,20,35,3000,6000
Tsunoda,Common,2,17,13,19,15,11,10,85,56,2,4,5,4000,4000
Zhou,Rare,1,19,13,17,15,11,10,85,58,2,1,1,0,0
Albon,Rare,2,13,17,10,11,19,15,85,60,1,4,5,2000,2000
Schumacher,Epic,1,11,10,17,19,15,13,85,55,1,1,1,0,0
Magnussen,Common,4,15,18,9,17,13,11,83,63,1,20,35,3000,6000
Albon,Common,2,13,17,9,11,18,15,83,59,2,4,5,4000,4000
Zhou,Common,4,18,12,16,14,11,9,80,55,1,20,35,3000,6000
Schumacher,Common,2,11,9,16,18,14,12,80,52,2,4,5,4000,4000
Stroll,Common,1,17,14,12,10,8,15,76,49,2,1,1,0,0
Latifi,Common,3,8,10,13,11,15,17,74,44,1,10,15,2000,3000
Tsunoda,Common,1,15,11,17,13,10,8,74,49,2,1,1,0,0
Magnussen,Common,3,13,17,7,15,11,9,72,56,1,10,15,2000,3000
Albon,Common,1,11,15,7,9,17,13,72,52,2,1,1,0,0
Zhou,Common,3,16,11,14,12,9,7,69,48,1,10,15,2000,3000
Schumacher,Common,1,9,7,14,16,12,11,69,44,2,1,1,0,0
Albon,Rare,1,11,14,7,9,16,12,69,50,1,1,1,0,0
Latifi,Common,2,6,8,11,10,13,15,63,37,1,4,5,1000,1000
Magnussen,Common,2,11,15,5,13,9,7,60,48,1,4,5,1000,1000
Zhou,Common,2,14,9,12,11,7,5,58,41,1,4,5,1000,1000
Latifi,Common,1,4,6,10,8,11,13,52,29,1,1,1,0,0
Magnussen,Common,1,9,13,4,11,7,5,49,40,1,1,1,0,0
Zhou,Common,1,12,7,11,9,5,3,47,33,1,1,1,0,0
